date,EUA_return,GAS_return,OIL_return,COAL_return,ELEC_return,IP_return,CPI_return,POLICY_dummy,PHASE_dummy
2019-01-04,0.014919789908833803,-0.15571930759988484,0.05878784389971603,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,1,0
2019-01-07,-0.05775462106254414,-0.10578960813383709,-0.10385311996809854,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-08,0.022858138076049972,0.012793351459909452,-0.07266651850456629,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-09,-0.034903974280714234,0.012793351459909452,-0.07266651850456629,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-10,0.0012528713269666092,0.0,-0.026972078438611824,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-11,0.023103337820761904,0.07350246199292654,0.04645053441554925,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-14,-0.0077789542725792415,0.27977689294466757,-0.04475385451934688,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-15,0.002872975503724895,0.05218575317057028,0.027586764780362927,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-16,0.03146689631704502,0.011236073266925883,0.01115131767341726,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-17,0.008305367100385652,0.0,-0.0022857051583935473,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-18,0.04768300410925397,-0.042802539234760406,0.024541115970314387,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-21,-0.014372410788208168,-0.042802539234760406,0.024541115970314387,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-22,0.025946181944585422,0.0,-0.019324284947614956,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-23,-0.017600154743208307,-0.09152725662578676,-0.00587086832688577,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-24,-0.023701415284571592,0.0,-0.0008181173685173349,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-25,-0.006598122132677631,-0.019355442952956103,0.008962811438673945,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-28,-0.047039361271079105,-0.0065359709797854215,-0.028133780912948048,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-29,0.023397598214038418,-0.03673200926872999,0.022928829305371323,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-30,-0.014458083175230119,0.020202707317519497,0.0053672054797049285,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-01-31,-0.03373417365202469,-0.06187540371808753,0.0038853514672023692,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-01,-0.014752638475038271,0.1419181113916239,-0.11966312733603601,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-04,0.0448393916700196,-0.16342431661258772,0.23375905848066747,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-05,0.004456154831895542,-0.0482468335393853,0.019697999483641482,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-06,0.020008670708670184,-0.0482468335393853,0.019697999483641482,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-07,-0.00875453263424708,-0.13407472325456926,-0.12558723662873472,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-08,-0.045378723568531676,-0.0814930342511827,-0.008206693999538217,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-11,0.002506266976059379,-0.0814930342511827,-0.008206693999538217,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-12,-0.07446103983404351,-0.030109801471370434,0.054477673466383436,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-13,0.011617646306391727,0.13079840376845375,0.04320920229283587,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-14,-0.051971585587584634,0.0,0.014979201556984734,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-15,0.030870914953657458,-0.007692345623155683,0.025685563028946312,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-18,-0.020165669594594426,-0.007692345623155683,0.025685563028946312,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-19,0.00967526552341802,0.03788331790230137,0.003014274393749794,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-20,0.010490404071176407,0.0,0.009436224975785557,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-21,-0.08125336157443286,0.01476041558312069,-0.0001491187462576704,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-22,0.00539878611924971,0.003656311203110496,0.0007452576407356304,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-25,0.010710910577511168,0.03584613177313578,-0.035793941275820806,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-26,0.02060940426611957,-0.03584613177313578,0.006924655442321459,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-27,0.0740402008141956,0.05329858172436186,0.017933616246091688,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-02-28,0.018765551755990817,0.0,-0.0054372678129075425,0.004423698538622567,-0.003915815086833696,-0.000935016,0.015,0,0
2019-03-01,0.025609594204324182,-0.0606246218164348,-0.1656507173885382,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-04,0.03600637249064498,0.0073260400920729385,0.21413071238424664,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-05,-0.00734397425575839,-0.05630004468853256,0.021975783816032823,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-06,-0.03415575665099402,-0.035367143837291226,-0.14511143901805124,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-07,0.04798273578483103,-0.08773891430800684,0.04061311046896687,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-08,-0.009740336748385037,-0.08773891430800684,0.04061311046896687,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-11,-0.030644219805374906,-0.08773891430800684,0.04061311046896687,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-12,0.0008406894147934274,0.04652001563489283,0.052488224371114,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-13,-0.0033670065479043387,0.17054448960293478,0.10494943240573473,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-14,0.02003405903311606,0.027493140580198583,-0.004748483099313638,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-15,-0.011637704080209588,0.0,-0.0010417397525692706,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-18,-0.0297009528126857,-0.017094433359300165,0.005642141872916007,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-19,-0.030166221825592476,0.006872879287762146,0.0010358815459410309,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
2019-03-20,0.021515648849583346,-0.020761991448429162,0.013077835143259442,0.004423698538622567,-0.009857152261617763,0.001869159,0.013999999999999999,0,0
