model,horizon,rmse_mean,rmse_std,mae_mean,mae_std,n_folds
hm,1,0.022823623300757413,0.03159575956159448,0.022823623300757413,0.03159575956159448,37
hm,5,0.024749912729768016,0.014251033158031038,0.01987476686261853,0.011403006402646302,37
hm,22,0.026025903301694027,0.01031298278841862,0.01988218635867019,0.0066492796476559325,37
rw,1,0.022454573621621624,0.03156039713796714,0.022454573621621624,0.03156039713796714,37
rw,5,0.024647795188156896,0.014232886100889207,0.019819603908108104,0.011403375944055523,37
rw,22,0.02602204818148115,0.010290101858458932,0.019924108273955778,0.006656315205690944,37
