config,horizon,rmse_mean,rmse_std,n_folds
re_upload=False,1,0.02699663396575833,0.02051811340653057,37
re_upload=False,22,0.027858151799257488,0.019617053131409996,37
re_upload=True,1,0.027087945761466725,0.019018999500817035,37
re_upload=True,22,0.02881833210707422,0.01779555217210539,37
