config,horizon,rmse_mean,rmse_std,n_folds
entanglement=circular,1,0.027087945761466725,0.019018999500817035,37
entanglement=circular,22,0.02881833210707422,0.01779555217210539,37
entanglement=full,1,0.03054536643285315,0.021771658952239297,37
entanglement=full,22,0.03142304956398021,0.020857347064497066,37
entanglement=linear,1,0.02596001902744751,0.01797661937980739,37
entanglement=linear,22,0.027887434374195868,0.016795304181963046,37
