model,horizon,rmse_mean,rmse_std,rmse_count,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,da_mean,da_std,da_count,sharpe_mean,sharpe_std,sharpe_count
bilstm,1,0.021050434161276648,0.01959706466519144,37,0.021050434161276648,0.01959706466519144,37,138.01938985221784,162.42089765160136,37,54.054054054054056,50.522792406522356,37,,,0
bilstm,5,0.01889123458991115,0.014577453639284668,37,0.01889123458991115,0.014577453639284668,37,95.71588485886285,21.89282996581404,37,54.054054054054056,50.522792406522356,37,,,0
bilstm,22,0.021230610363592587,0.01939430207513584,37,0.021230610363592587,0.01939430207513584,37,167.92463201877504,225.32330978972578,37,48.648648648648646,50.67117097095318,37,,,0
emd_lstm,1,0.02209507343822683,0.020400900696280325,37,0.02209507343822683,0.020400900696280325,37,161.08342182688125,246.0431969312097,37,45.945945945945944,50.522792406522356,37,,,0
emd_lstm,5,0.01824882536297799,0.013805083237824107,37,0.01824882536297799,0.013805083237824107,37,99.51449565868377,44.044792893840125,37,62.16216216216216,49.16723926983716,37,,,0
emd_lstm,22,0.021804817507282172,0.01944431969307516,37,0.021804817507282172,0.01944431969307516,37,201.5887159905526,355.0290889939711,37,48.648648648648646,50.67117097095318,37,,,0
gru,1,0.02171102867062315,0.019848115646734006,37,0.02171102867062315,0.019848115646734006,37,139.53997270971314,114.39692297493016,37,56.75675675675676,50.22472023339227,37,,,0
gru,5,0.018808771863899326,0.013733257487776688,37,0.018808771863899326,0.013733257487776688,37,101.15089266758939,35.69744572157523,37,56.75675675675676,50.22472023339227,37,,,0
gru,22,0.02133691983143456,0.01949405038267685,37,0.02133691983143456,0.01949405038267685,37,149.31942755877787,190.56688842903276,37,43.24324324324324,50.22472023339226,37,,,0
laplacian_svm,1,0.021244033862005147,0.02136648219995476,37,0.021244033862005147,0.02136648219995476,37,151.25419335032703,231.96810100770526,37,56.75675675675676,50.22472023339227,37,,,0
laplacian_svm,5,0.019158448534853857,0.014960190553194877,37,0.019158448534853857,0.014960190553194877,37,101.96065667379496,37.50775241141592,37,48.648648648648646,50.67117097095318,37,,,0
laplacian_svm,22,0.02069438034493351,0.01976947387553127,37,0.02069438034493351,0.01976947387553127,37,119.82682521206769,86.87150536192193,37,51.351351351351354,50.67117097095317,37,,,0
lightgbm,1,0.020239202266814568,0.01896312009167077,37,0.020239202266814568,0.01896312009167077,37,108.76572220786252,79.41400669182032,37,54.054054054054056,50.52279240652236,37,,,0
lightgbm,5,0.018344705181662695,0.014528838121860788,37,0.018344705181662695,0.014528838121860788,37,91.21722845375346,30.93948443001779,37,59.45945945945946,49.7742652128334,37,,,0
lightgbm,22,0.020253024602182344,0.019565358265235432,37,0.020253024602182344,0.019565358265235432,37,105.03770388403973,93.15961942489045,37,54.054054054054056,50.522792406522356,37,,,0
qk_svr,1,0.027113132046132006,0.01904073012056253,37,0.027113132046132006,0.01904073012056253,37,606.5671434967193,1487.6355738906082,37,48.648648648648646,50.67117097095316,37,,,0
qk_svr,5,0.02544178131772179,0.016580144616095253,37,0.02544178131772179,0.016580144616095253,37,199.6565384354442,167.93771649697993,37,54.054054054054056,50.522792406522356,37,,,0
qk_svr,22,0.02880900519756415,0.01781668003964239,37,0.02880900519756415,0.01781668003964239,37,644.878371745098,1525.5047622916718,37,48.648648648648646,50.67117097095317,37,,,0
rbf_svm,1,0.020646283589849157,0.02030209099158721,37,0.020646283589849157,0.02030209099158721,37,147.5356501597032,179.59037838755606,37,48.648648648648646,50.67117097095316,37,,,0
rbf_svm,5,0.0186235854609084,0.015131426575547743,37,0.0186235854609084,0.015131426575547743,37,92.30926161173906,35.21519169273165,37,48.648648648648646,50.67117097095317,37,,,0
rbf_svm,22,0.021013625690430145,0.019756218041380127,37,0.021013625690430145,0.019756218041380127,37,159.47260274982568,304.8848762302644,37,48.648648648648646,50.67117097095317,37,,,0
transformer,1,0.020454592561065393,0.020343845144271663,37,0.020454592561065393,0.020343845144271663,37,125.68379468370244,160.04444044229712,37,59.45945945945946,49.7742652128334,37,,,0
transformer,5,0.019709828162331567,0.014766954218731298,37,0.019709828162331567,0.014766954218731298,37,102.95965976266854,35.571548545215585,37,43.24324324324324,50.224720233392276,37,,,0
transformer,22,0.02079067205318589,0.01943705376270002,37,0.02079067205318589,0.01943705376270002,37,143.10833649761423,167.31335606868635,37,51.351351351351354,50.671170970953185,37,,,0
xgboost,1,0.020753150179668677,0.019443284791093234,37,0.020753150179668677,0.019443284791093234,37,109.75590944980517,69.10816096996152,37,56.75675675675676,50.22472023339227,37,,,0
xgboost,5,0.018673034035554145,0.014548442488558268,37,0.018673034035554145,0.014548442488558268,37,93.18207844638896,18.366089807276026,37,59.45945945945946,49.774265212833406,37,,,0
xgboost,22,0.020379201530520193,0.019558615411497716,37,0.020379201530520193,0.019558615411497716,37,113.84762528678223,73.49883173529703,37,56.75675675675676,50.224720233392276,37,,,0
