total_return_pct,ann_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,hit_rate_pct,win_loss_ratio,n_trades,n_obs,model,horizon,regime
-1.8669,-36.1889,-0.8242,-306.4222,-0.1181,46.15,1.0084,13,13,hm,1,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,hm,1,crisis_onset
10.5193,203.9122,5.3944,-167.4847,1.2175,61.54,1.5847,13,13,hm,1,peak_crisis
-3.8766,-195.3831,-6.8925,-181.9737,-1.0737,40.0,0.5658,5,5,hm,1,post_crisis
7.1833,48.9238,1.0814,-345.1158,0.1418,54.05,1.0238,37,37,buy_hold,1,overall
-1.8669,-36.1889,-0.8242,-306.4222,-0.1181,46.15,1.0084,13,13,buy_hold,1,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,buy_hold,1,crisis_onset
10.5193,203.9122,5.3944,-167.4847,1.2175,61.54,1.5847,13,13,buy_hold,1,peak_crisis
-3.8766,-195.3831,-6.8925,-181.9737,-1.0737,40.0,0.5658,5,5,buy_hold,1,post_crisis
2.1233,14.4617,0.319,-323.1066,0.0448,54.05,0.8979,37,37,random,1,overall
-0.9821,-19.0379,-0.4332,-323.1066,-0.0589,61.54,0.5789,13,13,random,1,pre_crisis
7.5321,316.3465,5.1018,-43.2602,7.3126,50.0,2.3116,6,6,random,1,crisis_onset
-4.2389,-82.1692,-2.0757,-833.2829,-0.0986,46.15,0.8191,13,13,random,1,peak_crisis
-0.9913,-49.9604,-1.6251,-134.3988,-0.3717,60.0,0.5285,5,5,random,1,post_crisis
18.6248,126.8499,3.4292,-286.2515,0.4431,54.05,1.4485,37,37,qk_svr,5,overall
6.572,127.396,2.7958,-286.2515,0.445,46.15,1.8656,13,13,qk_svr,5,pre_crisis
5.9244,248.8266,9.6871,-35.5441,7.0005,66.67,1.7851,6,6,qk_svr,5,crisis_onset
2.421,50.8415,1.3917,-88.982,0.5714,50.0,1.2213,12,12,qk_svr,5,peak_crisis
3.7073,155.707,6.9495,-66.622,2.3372,66.67,1.3274,6,6,qk_svr,5,post_crisis
-13.248,-90.2296,-2.4116,-1662.4811,-0.0543,48.65,0.7257,37,37,rbf_svm,5,overall
-2.9738,-57.646,-1.2497,-807.1193,-0.0714,53.85,0.6952,13,13,rbf_svm,5,pre_crisis
-4.3696,-183.5226,-6.6058,-333.766,-0.5499,33.33,0.8273,6,6,rbf_svm,5,crisis_onset
-7.908,-166.0689,-4.7247,-4712.4876,-0.0352,41.67,0.7124,12,12,rbf_svm,5,peak_crisis
2.0034,84.144,3.5241,-343.8715,0.2447,66.67,0.8239,6,6,rbf_svm,5,post_crisis
-4.913,-33.4613,-0.8856,-363.5329,-0.092,48.65,0.9199,37,37,laplacian_svm,5,overall
0.0272,0.5266,0.0114,-363.5329,0.0014,53.85,0.8588,13,13,laplacian_svm,5,pre_crisis
1.9319,81.1381,2.7362,-230.1129,0.3526,50.0,1.4491,6,6,laplacian_svm,5,crisis_onset
-3.1647,-66.4583,-1.8241,-612.0016,-0.1086,50.0,0.7695,12,12,laplacian_svm,5,peak_crisis
-3.7073,-155.707,-6.9495,-412.4991,-0.3775,33.33,0.7534,6,6,laplacian_svm,5,post_crisis
4.3194,29.4186,0.7783,-91.7024,0.3208,59.46,0.7695,37,37,xgboost,5,overall
6.6157,128.2423,2.8149,-91.7024,1.3985,69.23,0.713,13,13,xgboost,5,pre_crisis
4.1154,172.8479,6.1616,-113.2955,1.5256,66.67,1.1411,6,6,xgboost,5,crisis_onset
-0.7254,-15.2337,-0.4155,-548.9688,-0.0277,58.33,0.6729,12,12,xgboost,5,peak_crisis
-5.6863,-238.8243,-12.3846,-162.3759,-1.4708,33.33,0.3606,6,6,xgboost,5,post_crisis
6.695,45.5981,1.2084,-91.7024,0.4972,59.46,0.8226,37,37,lightgbm,5,overall
6.6157,128.2423,2.8149,-91.7024,1.3985,69.23,0.713,13,13,lightgbm,5,pre_crisis
1.689,70.937,2.3838,-178.2011,0.3981,50.0,1.3819,6,6,lightgbm,5,crisis_onset
-0.7254,-15.2337,-0.4155,-548.9688,-0.0277,58.33,0.6729,12,12,lightgbm,5,peak_crisis
-0.8843,-37.1396,-1.5255,-88.3416,-0.4204,50.0,0.8051,6,6,lightgbm,5,post_crisis
4.3837,29.8562,0.7899,-393.6154,0.0759,54.05,0.961,37,37,bilstm,5,overall
1.0544,20.4388,0.4419,-235.1412,0.0869,61.54,0.673,13,13,bilstm,5,pre_crisis
-10.5345,-442.4474,-39.0066,-463.5773,-0.9544,0.0,,6,6,bilstm,5,crisis_onset
17.571,368.9919,13.0086,-88.982,4.1468,83.33,1.2451,12,12,bilstm,5,peak_crisis
